idptar;X;Y;Annonce Sonore Prochain Passage;Annonce Visuelle Prochain Passage;Annonce Sonore Situations Perturbees;Annonce Visuelle Situations Perturbees;coord;IDAMIVIF;nomptar;CODEINSEE;Accessibilité UFR;PAQT;IDFM;Sens;Doublon;Ligne;GIPA
3730044;598021;2418287;1;1;1;1;48.7630449504,2.30960126969;IDAMIVIF;BERNY-RAYMOND ARON;92002;1;;100100014;R;Ok;14;38400
3730078;605354;2418603;1;1;1;1;48.7658665727,2.40930156038;IDAMIVIF;CHOISY-LE-ROI RER;94022;1;;100100014;A;Ok;14;8943
3730063;602414;2417887;1;1;1;1;48.7594485932,2.36932442188;IDAMIVIF;LE COR DE CHASSE;94073;1;;100100014;A;Ok;14;6564
3730058;600955;2419023;1;1;1;1;48.7696627625,2.3494922526;IDAMIVIF;MAIRIE DE CHEVILLY-LARUE;94021;1;;100100014;R;Ok;14;38407
3730100;609914;2422465;1;1;1;1;48.8005242918,2.47139028898;IDAMIVIF;PONT DE CRETEIL;94068;1;;100100014;R;Ok;14;11317
3730090;608235;2420807;1;1;1;1;48.7856459452,2.44851492788;IDAMIVIF;PREFECTURE DU VAL-DE-MARNE;94028;1;;100100014;A;Ok;14;14076
7931318;597294;2432769;1;1;1;1;48.8932011925,2.29962302263;IDAMIVIF;ALSACE;92044;1;;100100020;A;;20;1011
7931319;597467;2432562;1;1;1;1;48.8913415694,2.30198222992;IDAMIVIF;PORTE D'ASNIERES - MARGUERITE LONG;75117;1;;100100020;A;;20;1012
7931321;597710;2432035;1;1;1;1;48.8866062519,2.30529705289;IDAMIVIF;WAGRAM - PEREIRE;75117;1;;100100020;A;;20;2225
7931324;598249;2431361;1;1;1;1;48.8805505988,2.31264541228;IDAMIVIF;MALESHERBES - COURCELLES;75108;1;;100100020;A;;20;2228
7931328;599338;2430563;1;1;1;1;48.8733808867,2.32748590569;IDAMIVIF;HAVRE - HAUSSMANN;75109;1;;100100020;A;;20;11049
7931329;599515;2430413;1;1;1;1;48.8720329628,2.329897635;IDAMIVIF;AUBER;75109;0;;100100020;A;;20;20
7931333;600303;2430041;1;1;1;1;48.8686898542,2.34063325091;IDAMIVIF;BOURSE;75102;1;;100100020;A;;20;68
7931338;601500;2429652;1;1;1;1;48.8651921937,2.35693898485;IDAMIVIF;ARTS ET METIERS;75103;1;;100100020;A;;20;70
7931339;601729;2429622;1;1;1;1;48.8649220163,2.36005838597;IDAMIVIF;SQUARE DU TEMPLE;75103;0;;100100020;A;;20;71
7931342;602087;2429869;1;1;1;1;48.8671408617,2.36493634928;IDAMIVIF;REPUBLIQUE;75111;0;;100100020;A;;20;1060
7931372;602015;2429969;1;1;1;1;48.8680398208,2.36395596556;IDAMIVIF;REPUBLIQUE;75110;1;;100100020;R;;20;1109
7931374;601442;2430076;1;1;1;1;48.8690029606,2.35615027681;IDAMIVIF;PORTE SAINT-MARTIN;75110;0;;100100020;R;;20;99
7931375;601139;2430176;1;1;1;1;48.8699022777,2.35202265526;IDAMIVIF;PORTE SAINT-DENIS;75102;1;;100100020;R;;20;100
7931381;599525;2430431;1;1;1;1;48.8721947428,2.33003385402;IDAMIVIF;AUBER;75109;0;;100100020;R;;20;106
7931395;597344;2432634;1;1;1;1;48.8919881381,2.30030537349;IDAMIVIF;REIMS - HOTEL DES IMPOTS;75117;1;;100100020;R;;20;1008
7931393;597076;2432409;1;1;1;1;48.8899648345,2.29665427874;IDAMIVIF;CURNONSKY;75117;1;;100100020;R;;20;1009
7921079;599492;2433437;1;1;1;1;48.8992102961,2.32958025734;IDAMIVIF;PORTE DE SAINT-OUEN - HOPITAL BICHAT;75118;0;;100100021;A;Ok;21;1843
7921082;599317;2432716;1;1;1;1;48.8927303882,2.32719603751;IDAMIVIF;GUY MOQUET;75118;1;;100100021;A;Ok;21;1846
7921091;599515;2430413;1;1;1;1;48.8720329628,2.329897635;IDAMIVIF;AUBER;75109;0;;100100021;A;Ok;21;20
