Code STIF;Nom de Ligne;Origine;Destination;Accessibilité UFR;Rampe;Annonce sonore prochain arrêt;Annonce visuelle prochain arrêt
1001000240001;24;PANTHEON;ECOLE VETERINAIRE DE MAISONS-ALFORT;1;1;1;1
1001000260001;26;GARE SAINT-LAZARE;NATION - TRONE;1;1;1;1
1001000350001;35;MAIRIE D'AUBERVILLIERS;GARE DE L'EST.;1;1;1;1
1001000380001;38;PORTE DE LA CHAPELLE;PORTE D'ORLEANS;1;1;1;1
1001000400001;40;MAIRIE DU 18E - JULES JOFFRIN;LE PELETIER;1;1;1;1
1001000520001;52;CHARLES DE GAULLE-ETOILE-FRIEDLAND;PORTE D'AUTEUIL;1;1;1;1
1001000670001;67;PALAIS ROYAL - MUSEE DU LOUVRE;STADE CHARLETY-PORTE DE GENTILLY;1;1;1;1
1001000830001;83;FRIEDLAND - HAUSSMANN;PORTE D'IVRY;1;1;1;1
1001001140001;114;CHATEAU DE VINCENNES;VILLEMOMBLE-LES COQUETIERS;1;0;1;0
1001001170001;117;CHAMPIGNY-SAINT MAUR-RER;PREFECTURE DU VAL DE MARNE;1;1;1;0
1001001180001;118;CHATEAU DE VINCENNES;VAN DERHEYDEN;1;0;1;1
1001001220001;122;GALLIENI-METRO;VAL DE FONTENAY-RER;1;1;1;1
1001001230001;123;MAIRIE D'ISSY-METRO;PORTE D'AUTEUIL-METRO;1;0;1;1
1001001280001;128;PORTE D'ORLEANS-METRO;ROBINSON RER;1;1;1;1
1001001500001;150;PORTE DE LA VILLETTE;PIERREFITTE - STAINS RER;1;1;1;1
1001001530001;153;PORTE DE LA CHAPELLE;MOULIN NEUF;1;1;1;1
1001001600001;160;BOULOGNE - PONT DE SAINT-CLOUD;NANTERRE-PREFECTURE RER;1;1;1;0
1001001650001;165;PORTE DE CHAMPERRET;ROBERT LAVERGNE;1;1;1;1
1001001700001;170;(PORTE DES LILAS - SAINT-DENIS RER);SAINT-DENIS RER;1;1;1;1
1001001790001;179;PONT DE SEVRES-METRO;ROBINSON RER;1;1;1;1
1001001800001;180;CHARENTON ECOLES-METRO;LOUIS ARAGON-METRO;1;1;1;1
1001001810001;181;ECOLE VETERINAIRE-METRO;CRETEIL-GAITE RN 19;1;1;1;1
1001001830001;183;PORTE DE CHOISY;AEROPORT D'ORLY-TERMINAL SUD;0;1;1;1
1001001850001;185;PORTE D'ITALIE;MARCHE INTERNATIONAL DE RUNGIS.;1;1;1;1
1001001860001;186;PORTE D'ITALIE-METRO;ROND-POINT ROOSEVELT;1;1;1;1
1001001910001;191;PORTE DE VANVES-METRO;CLAMART-PLACE DU GARDE;1;1;1;0
1001001970001;197;PORTE D'ORLEANS-METRO;MASSY - OPERA-THEATRE;1;0;1;1
1001002030001;203;NEUILLY-PLAISANCE RER;ILE DE FRANCE;1;1;1;0
1001002120001;212;POINTE DE CHAMPS;EMERAINVILLE-PONTAULT-COMBAULT RER;1;0;1;0
1001002210001;221;GALLIENI-METRO;GAGNY-POINTE DE GOURNAY;1;1;1;0
1001002350001;235;GABRIEL PERI-METRO;EUROPE;1;1;1;0
1001002380001;238;PONT DE LEVALLOIS-METRO;SAINT-GRATIEN RER;1;1;1;0
1001002500001;250;FORT D'AUBERVILLIERS-METRO;LA FONTAINE CYPIERRE-ZI;1;0;1;0
1001002510001;251;BOBIGNY-Z.I.BENOIT FRACH;AULNAY SOUS BOIS-RER;0;0;1;0
1001002540001;254;GARE D'ENGHIEN-LES-BAINS;GARE DE SAINT-DENIS RER;1;1;1;1
1001002560001;256;LA COURNEUVE - AUBERVILLIERS RER;GARE D'ENGHIEN-LES-BAINS;1;0;1;1
1001002580001;258;LA DEFENSE-METRO-RER-TRAMWAY;LA JONCHERE;1;0;1;1
1001002610001;261;EGLISE DE FRANCONVILLE;ZAC DE LA BONGARDE;1;1;1;1
1001002620001;262;PONT DE BEZONS;GARE DE MAISONS-LAFFITTE-RER;1;1;1;1
1001002740001;274;SAINT-DENIS RER;VOLTAIRE - VILLIERS;1;1;1;1
1001002750001;275;LA DEFENSE-METRO-RER-TRAMWAY;PONT DE LEVALLOIS-METRO;1;1;1;0
1001002780001;278;LA DEFENSE-METRO-RER-TRAMWAY;LES BRUYERES;1;1;1;0
1001002850001;285;VILLEJUIF - LOUIS ARAGON;JUVISY-RER;0;1;1;1
1001003010001;301;VAL DE FONTENAY-RER;PABLO PICASSO-METRO;1;1;1;1
1001003020001;302;GARE DU NORD;6 ROUTES-TRAMWAY;1;1;1;0
1001003040001;304;ASNIERES-GENNEVILLIERS-LES COURTILLES;NANTERRE-PLACE DE LA BOULE;1;1;1;1
1001003170001;317;HOTEL DE VILLE DE CRETEIL;NOGENT-LE-PERREUX RER;1;0;1;1
1001003230001;323;ISSY-VAL DE SEINE-RER-TRAMWAY;IVRY-SUR-SEINE GAMBETTA;1;1;1;1
1001003340001;334;CIRCULAIRE PAVILLON SOUS BOIS;ROND POINT-ROBERT SCHUMAN;0;0;0;0
1001003370001;337;GARE DE PIERREFITTE - STAINS RER;ZONE ARTISANALE DU MOUTIER;0;0;0;0
1001003470001;347;PONT DE BONDY - AVENUE DE ROSNY;HOPITAL DE MONTFERMEIL;1;1;1;0
1001003510001;351;NATION;ROISSYPOLE;1;1;1;0
1001003520001;ROISSYB;OPERA;AEROPORT CDG (T3-ROISSYPOLE);0;0;1;1
1001003550001;355;LYCEE DE LA TOURELLE;CIRCULAIRE;1;0;0;1
1001003800001;380;VACHE NOIRE - CENTRE COMMERCIAL;VILLEJUIF - LOUIS ARAGON;1;0;1;1
1001003850001;385;GARE D'EPINAY-SUR-ORGE RER;JUVISY RER;0;0;1;0
1001003890001;389;HOTEL DE VILLE DE BOULOGNE-BILLANCOURT;CLAMART - GEORGES POMPIDOU;1;1;1;0
1001004850001;485;DELALANDE PASTEUR;NOYER RENARD;1;1;1;0
1001004870001;487;JUVISY RER;PORTE DE L'ESSONNE;1;1;1;0
1001004880001;488;JUVISY RER;PLACE HENRI DEUDON;1;1;1;0
1001005120001;512;MAIRIE D'AUVERVILLIERS;FRONT POPULAIRE-GARDINOUX;1;1;1;0
1001000250001;25;BIBLIOTHEQUE FRANCOIS MITTERRAND;DURAS;1;1;1;1
1001005130001;513;LA TRAVERSE BIEVRES MONTSOURIS;PLACE DE L'ABBE GEORGES HENOCQUE;1;1;1;0
1001000290001;29;GARE SAINT-LAZARE;PORTE DE MONTEMPOIVRE;1;1;1;1
1001003300001;330;FORT D'AUBERVILLIERS-METRO;R. QUENEAU-METRO-ANATOLE FRANCE;1;1;0;0
1001000300001;30;PIGALLE;HOPITAL EUROPEEN GEORGES POMPIDOU;1;1;1;1
1001005410001;541;ECOLE DES SPORTS-ILE DE PUTEAUX;CIMETIERE NOUVEAU-CONSERVATOIRE-PRESSENCE;1;1;1;0
1001000430001;43;GARE DU NORD;HIPPODROME DE LONGCHAMP;1;1;1;1
1001005800001;580;LAPLACE RER;LOUIS ARAGON-METRO;0;1;1;0
1001000460001;46;GARE DU NORD;CHATEAU DE VINCENNES;1;1;1;1
1001005840001;V5;SERVICE URBAIN DE GENTILLY;GABRIEL PERI - SOLEIL LEVANT;1;1;0;0
1001000600001;60;GAMBETTA - JAPON;PORTE DE MONTMARTRE;1;1;1;1
1001005860001;COLOMBE;SERVICE URBAIN;CENTRE VILLE - NELSON MANDELA.;0;1;0;0
1001000630001;63;GARE DE LYON;PORTE DE LA MUETTE;1;1;1;1
1001007760001;N02;GARE MONTPARNASSE;GARE MONTPARNASSE.;1;1;1;0
1001000660001;66;OPERA;MAIRIE DE SAINT-OUEN;1;1;1;1
1001120170001;T7;VILLEJUIF - LOUIS ARAGON;PORTE DE L'ESSONNE;1;0;1;1
1001000690001;69;GAMBETTA;CHAMPS DE MARS;1;1;1;1
1001102000001;OrlyVal;ANTONY;ORLY 4;1;0;1;0
1001000700001;70;HOTEL DE VILLE;SURESNES - DE GAULLE;1;1;1;1
