Date/Mensuel;Code UIC;Nom de la gare;Assistance simple;Rampe;Fauteuil;Rampe et  fauteuil;Total
2018-02;0087393033;Invalides;0;0;0;0;0
2018-02;0087597062;Issoudun;0;2;2;0;4
2018-02;0087393066;Javel;0;0;0;0;0
2018-02;0087545244;Juvisy;0;0;0;0;0
2018-02;0087481754;La Baule-Escoublac;23;8;31;0;62
2018-02;0087382432;La Celle-Saint-Cloud;0;0;0;0;0
2018-02;0087696195;La Charité-Sur-Loire;0;0;2;0;2
2018-02;0087582775;Langon;12;0;4;0;16
2018-02;0087645135;Laroquebrou;0;0;0;0;0
2018-02;0087271395;Le Bourget;0;1;0;0;1
2018-02;0087481788;Le Croisic;6;12;13;0;31
2018-02;0087775866;Le Grau-du-Roi;2;0;0;0;2
2018-02;0087381095;Le Stade;0;0;0;0;0
2018-02;0087382366;Le Val d'Or;0;0;0;0;0
2018-02;0087543017;Les Aubrais;80;6;11;2;99
2018-02;0087386664;Les Clairières de Verneuil;0;0;0;0;0
2018-02;0087393280;Les Essarts-le-Roi;0;0;0;0;0
2018-02;0087486449;Les Sables-d'Olonne;12;10;7;0;29
2018-02;0087546226;Les Saules;0;0;0;0;0
2018-02;0087113803;Les Yvris Noisy-le-Grand;0;0;0;0;0
2018-02;0087381210;Liancourt-Saint-Pierre;0;0;0;0;0
2018-02;0087381582;Limay;2;0;0;0;2
2018-02;0087571471;Loches;2;0;0;0;2
2018-02;0087116137;Longueville;0;0;0;0;0
2018-02;0087142109;Lorraine TGV;68;34;21;3;126
2018-02;0087185249;Lure;1;3;0;0;4
2018-02;0087723197;Lyon Part Dieu;1482;853;518;26;2879
2018-02;0087722025;Lyon Perrache;184;53;48;0;285
2018-02;0087725689;Mâcon;56;42;6;0;104
2018-02;0087394130;Maintenon;1;0;0;0;1
2018-02;0087751321;Manosque - Gréoux-les-Bains;1;0;1;0;2
2018-02;0087382812;Mareil-Marly;0;0;0;0;0
2018-02;0087586545;Marmande;34;4;9;0;47
2018-02;0087734871;Massiac - Blesle;5;0;0;0;5
2018-02;0087381483;Maurecourt;0;0;0;0;0
2018-02;0087116103;Meaux;46;4;7;0;57
2018-02;0087576116;Mehun-sur-Yèvre;0;0;0;0;0
2018-02;0087682005;Melun;2;0;1;0;3
2018-02;0087313668;Méru;4;0;0;0;4
2018-02;0087192039;Metz;113;131;35;2;281
2018-02;0087393082;Meudon Val Fleury;0;0;0;0;0
2018-02;0087381830;Meulan - Hardricourt;2;0;0;0;2
2018-02;0087747329;Moirans;0;0;0;0;0
2018-02;0087684001;Montargis;10;7;0;0;17
2018-02;0087764001;Montélimar;53;15;20;0;88
2018-02;0087696328;Moulins sur Allier;62;10;7;0;79
2018-02;0087386318;Nanterre Université;0;12;0;0;12
2018-02;0087481002;Nantes;756;348;263;11;1378
2018-02;0087615732;Naucelle;1;0;0;0;1
2018-02;0087334482;Neuville Université;0;4;0;0;4
2018-02;0087113746;Nogent - Le Perreux;0;0;0;0;0
2018-02;0087276758;Nointel - Mours;0;0;0;0;0
2018-02;0087574319;Onzain Chaumont sur Loire;0;0;0;0;0
2018-02;0087543009;Orléans;138;46;49;14;247
2018-02;0087672253;Orthez;26;14;5;0;45
2018-02;0087743534;Oyonnax;2;3;0;0;5
2018-02;0087694687;Paray-le-Monial;4;1;4;0;9
2018-02;0087547000;Paris Austerlitz;326;64;184;15;589
2018-02;0087276469;Persan - Beaumont;1;0;0;0;1
2018-02;0087575001;Poitiers;260;132;79;0;471
2018-02;0087393041;Pont de l'Alma;0;0;0;0;0
2018-02;0087546192;Pont de Rungis Aéroport d'Orly;0;0;0;0;0
2018-02;0087141820;Pont-à-Mousson;1;6;0;0;7
2018-02;0087715003;Pontarlier;2;1;2;0;5
2018-02;0087171009;Reims;140;51;33;2;226
2018-02;0087144451;Remiremont;17;0;4;0;21
2018-02;0087172270;Rethel;7;112;2;0;121
2018-02;0087681338;Ris-Orangis;0;0;0;0;0
2018-02;0087726802;Roanne;47;38;13;1;99
2018-02;0087485144;Rochefort;16;15;5;1;37
2018-02;0087761650;Romans - Bourg-de-Péage;2;0;1;0;3
