datasetid;dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;dcat.publisher_type;dcat.conforms_to;default.title;default.description;default.theme;default.keyword;default.license;default.license_url;default.language;default.metadata_languages;default.timezone;default.modified;default.modified_updates_on_metadata_change;default.modified_updates_on_data_change;default.data_processed;default.metadata_processed;default.geographic_reference;default.geographic_reference_auto;default.territory;default.publisher;default.references;default.records_count;default.attributions;default.source_domain;default.source_domain_title;default.source_domain_address;default.source_dataset;default.shared_catalog;default.federated;default.oauth_scope;default.parent_domain
frequentation-du-pole-de-la-defense-experimentation-lissage-des-heures-de-pointe;2020-12-17;2020-12-17;EDT/ETG;;;;Hebdomadaire;Ile-de-France;Depuis le 15/03/2019;;;;;Fréquentation du Pôle de La Défense (expérimentation de lissage des heures de pointe);"<p>Ces données sont issues de 14 capteurs de comptage, placés au niveau des points d’accès aux stations de La Défense (Grande Arche) et Esplanade de La Défense. </p><p>Ces capteurs de comptage ont été installés en mars 2019 de manière à comptabiliser l’ensemble des entrants et sortants du pôle, dans le cadre d’une expérimentation sur le lissage des heures de pointe à La Défense.<br/><span style='color: rgb(255, 255, 255); font-family: ""Segoe UI"", system-ui, ""Apple Color Emoji"", ""Segoe UI Emoji"", sans-serif; font-size: 14.6667px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(50, 49, 49); text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'></span></p>";Transports, Déplacements;Trafic,Comptage,Fréquentation;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;Europe/Paris;2020-12-17T09:38:42+00:00;False;False;2021-07-26T14:51:31+00:00;2021-07-26T14:51:31.865000+00:00;fr_80_75056;True;Paris;RATP;;206;;;;;;;False;;
trafic-annuel-entrant-par-station-du-reseau-ferre-2020;;;CML/DRC/ATTR;;;;Annuelle (Avril);;;;;;;Trafic annuel entrant par station du réseau ferré 2020;"<p>Ce jeu de données détaille le trafic des entrants directs sur le réseau ferré RATP en 2020.</p><p>Les
 « entrants directs » sont exclusivement les voyageurs provenant de la 
voie publique ou du réseau SNCF entrant sur le réseau de transport RATP 
en validant un titre de transport valide.</p><p>Les voyageurs en correspondance (y compris correspondances métro/RER) sur le réseau RATP ne sont pas comptabilisés.</p>";Transports, Déplacements;Trafic,Comptage,Fréquentation;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;;2021-05-17T12:35:28+00:00;False;False;2021-05-17T12:35:55+00:00;2021-05-17T12:35:56.850000+00:00;fr_80_75056;True;Paris;RATP;;371;;;;;;;False;;
trafic-annuel-entrant-par-station-du-reseau-ferre-2018;;;CML/DRC/ATTR;;;;Annuelle (Avril);;;;;;;Trafic annuel entrant par station du réseau ferré 2018;"<p>Ce jeu de données détaille le trafic des entrants directs sur le réseau ferré RATP en 2018.</p><p>Les
 « entrants directs » sont exclusivement les voyageurs provenant de la 
voie publique ou du réseau SNCF entrant sur le réseau de transport RATP 
en validant un titre de transport valide.</p><p>Les voyageurs en correspondance (y compris correspondances métro/RER) sur le réseau RATP ne sont pas comptabilisés.</p>";Transports, Déplacements;Trafic,Comptage,Fréquentation;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;;2019-04-29T13:14:45+00:00;False;False;2019-04-29T13:16:14+00:00;2019-04-29T13:16:15+00:00;fr_80_75056;True;Paris;RATP;;369;;;;;;;False;;
trafic-annuel-entrant-par-station-du-reseau-ferre;;;CML/DRC/ATTR;;;;Annuel (au mois d'Avril);;;;;;;Trafic annuel entrant par station du réseau ferré 2013;<p>Ce jeu de données détaille le trafic des entrants directs sur le réseau ferré RATP en 2013.</p><p>Les « entrants directs » sont exclusivement les voyageurs provenant de la voie publique ou du réseau SNCF entrant sur le réseau de transport RATP en validant un titre de transport valide.</p><p>Les voyageurs en correspondance (y compris correspondances métro/RER) sur le réseau RATP ne sont pas comptabilisés.</p>;Transports, Déplacements;Trafic,Comptage,Fréquentation;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;;2015-02-03T11:48:36+00:00;;;2017-05-01T11:04:11+00:00;2017-05-01T11:04:12+00:00;fr_80_75056;True;Paris;RATP;;369;;;;;;;False;;
accessibilite-des-lignes-du-reseau-de-surface-ratp;;;CML/NM/IVRC;;;;Annuelle;;2017;;;;;Accessibilité des lignes du réseau de surface RATP;"<p>Ce jeu de données contient la liste des lignes RATP en précisant lesquelles  sont accessibles, ainsi que des détails sur leurs équipements  d’accessibilités.</p><p>L’ensemble des réseaux sont concernés : Bus, Noctilien, Tramway, Métro et RER (A et B).<br/>En revanche, compte tenu de la complexité des modes Métro et RER, le fichier est essentiellement significatif pour les réseaux de surface (Bus/Noctilien/Tramway), et l’utilisation des informations pour les autres modes est déconseillée.</p><p>Pour l’utilisation du RER ou du métro, préconiser une utilisation du service <a href=""http://infomobi.com"" target=""_blank"">infomobi</a> pour connaître l’état du fonctionnement de l’ascenseur.<br/><strong></strong></p><p>N’hésitez pas à consulter la rubrique « accessibilité des réseaux » sur ratp.fr<br/><a href=""https://www.ratp.fr/accessibilite/accessibilite-des-reseaux"" target=""_blank"">https://www.ratp.fr/accessibilite/accessibilite-des-reseaux</a></p>";Transports, Déplacements;Accessibilité;Licence ODbL Version Française;http://vvlibri.org/fr/licence/odbl-10/legalcode/unofficial;fr;fr;;2020-04-16T13:14:43.470000+00:00;False;False;2020-04-16T13:16:49+00:00;2020-04-16T13:16:50.174000+00:00;fr_80_75056;True;Paris;RATP;Mission Accessibilité RATP;373;;;;;;;False;;
qualite-de-lair-mesuree-dans-la-station-chatelet;;;;;;;Hebdomadaire;Châtelet;2013-2014-2015-2016-2017-2018-2019;;;;;Qualité de l'air mesurée dans la station Châtelet;<p>La RATP exerce en permanence une activité de veille et d’expertise sur  la qualité de l’air circulant dans les enceintes ferroviaires  souterraines. La surveillance repose en premier lieu sur le respect des  conditions d’hygiène et de propreté des espaces de la RATP, tant pour  les voyageurs que pour le personnel.</p><p>Le laboratoire de la RATP réalise des mesures, en continu, dans 3  stations représentatives des espaces souterrains de la RATP (Châtelet,  Franklin Roosevelt et Auber) qui constituent le réseau SQUALES  (Surveillance de la Qualité de l'Air de l'Environnement Souterrain).</p><p>Ce jeu de données correspond à la station Châtelet sur la ligne 4.</p><p>Les mesures portent sur les paramètres climatiques usuels (température,  humidité relative), le renouvellement d’air (dioxyde de carbone) et la  qualité de l’air (oxydes d‘azote, particules). <br/> <br/> Ce réseau produit automatiquement plus de 200 000 données brutes par an.  Les moyennes horaires de ces mesures constituent la base de données  publiée. Des campagnes de mesures ponctuelles permettent par ailleurs de  surveiller d’autres paramètres, tels que les particules ultrafines, les  aldéhydes, les hydrocarbures aromatiques monocycliques ou  polycycliques.</p>;Environnement;Qualité de l'air,Métro,Châtelet;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;fr;;2021-08-03T09:51:22+00:00;False;False;2021-08-03T09:51:35+00:00;2021-08-03T09:51:35.236000+00:00;fr_80_75056;True;Paris;RATP;RATP - Département Développement, Innovation et Territoires;75022;;;;;;;False;;
trafic-annuel-entrant-par-station-du-reseau-ferre-2017;;;CML/DRC/ATTR;;;;Annuelle (mi année);;;;;;;Trafic annuel entrant par station du réseau ferré 2017;"<p>Ce jeu de données détaille le trafic des entrants directs sur le réseau ferré RATP en 2017.</p><p>Les
 « entrants directs » sont exclusivement les voyageurs provenant de la 
voie publique ou du réseau SNCF entrant sur le réseau de transport RATP 
en validant un titre de transport valide.</p><p>Les voyageurs en correspondance (y compris correspondances métro/RER) sur le réseau RATP ne sont pas comptabilisés.</p><p><strong>CORRECTIF </strong>!<br/><strong>Ce jeu de données comportait une  inversion de données entre les stations ""Front Populaire"" et ""Franklin  D. Roosevelt"". Celui-ci a donc été corrigé et republié ce jour, le  13/05/2019.</strong></p>";Transports, Déplacements;Trafic,Comptage,Fréquentation;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;;2019-05-13T12:55:50+00:00;False;False;2019-05-13T12:58:46+00:00;2019-05-13T13:01:18+00:00;fr_80_75056;True;Paris;RATP;;369;;;;;;;False;;
trafic-annuel-entrant-par-station-du-reseau-ferre-2016;;;CML/DRC/ATTR;;;;Annuelle (au mois d'Avril);;;;;;;Trafic annuel entrant par station du réseau ferré 2016;"<p>Ce jeu de données détaille le trafic des entrants directs sur le réseau ferré RATP en 2016.</p><p>Les
 « entrants directs » sont exclusivement les voyageurs provenant de la 
voie publique ou du réseau SNCF entrant sur le réseau de transport RATP 
en validant un titre de transport valide.</p><p>Les voyageurs en correspondance (y compris correspondances métro/RER) sur le réseau RATP ne sont pas comptabilisés.</p>";Transports, Déplacements;Trafic,Comptage,Fréquentation;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;;2017-04-19T08:30:02+00:00;;;2017-05-01T11:04:53+00:00;2017-05-01T11:04:54+00:00;fr_80_75056;True;Paris;RATP;;369;;;;;;;False;;
trafic-annuel-entrant-par-station-du-reseau-ferre-2015;;;CML/DRC/ATTR;;;;Annuel (au mois d'Avril);;;;;;;Trafic annuel entrant par station du réseau ferré 2015;"<p>Ce jeu de données détaille le trafic des entrants directs sur le réseau ferré RATP en 2015.</p><p>Les
 « entrants directs » sont exclusivement les voyageurs provenant de la 
voie publique ou du réseau SNCF entrant sur le réseau de transport RATP 
en validant un titre de transport valide.</p><p>Les voyageurs en correspondance (y compris correspondances métro/RER) sur le réseau RATP ne sont pas comptabilisés.</p>";Transports, Déplacements;Trafic,Comptage,Fréquentation;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;;2016-04-05T07:55:50+00:00;;;2017-05-01T11:04:45+00:00;2017-05-01T11:04:46+00:00;fr_80_75056;True;Paris;RATP;;369;;;;;;;False;;
indices-et-couleurs-de-lignes-du-reseau-ferre-ratp;;;;;;;;;;;;;;Indices et couleurs de lignes du réseau ferré RATP;"<p><strong>Ce jeu de données ne sera plus mis à jour à partir du 31 janvier 2018  et sera remplacé par le jeu de données <a href=""https://data.ratp.fr/explore/dataset/pictogrammes-des-lignes-de-metro-rer-tramway-bus-et-noctilien/"">''Pictogrammes des lignes de métro, RER, tramway, bus et noctilien''</a>.</strong></p><p>Ce jeu de données contient les images des indices de lignes du réseau ferré et un fichier descriptif du nuancier RATP. Les données sont disponibles en pièces jointes.</p><p>Ces données sont publiées sous une licence spécifique RATP.</p>";Transports, Déplacements;Signalétique,Couleur,Métro,RER,Tramway;Licence RATP http://data.ratp.fr/page/cgu_ratp;;fr;;;2017-12-18T14:18:07+00:00;;;;2017-12-18T14:18:16+00:00;fr_80_75056;True;Paris;RATP;;0;;;;;;;False;;
