Ligne;Nom_gare;Adresse_gare;Code_UIC;Reperes_E_S;Observations;Signaletique_directionnelle;Adresse_de_la_sortie;Nom_de_la_sortie;Coordonnee_WGS84_Bing
L;Achères-Ville;Rue du Moulin (depuis N186);87381657;Entrée et sortie;Entrée principale;;Rue du Moulin (depuis N186);Entrée 1 - Rue du Moulin;48.581261,2.43813
L;Nanterre-Université;33 Boulevard des Provinces Françaises 92000 Nanterre;87386318;Entrée  et sortie 1;;;Boulevard des Provinces Françaises;Entrée 1 - Boulevard des Provinces Françaises;48.901322,2.215582
L;Nanterre-Université;35 Boulevard des Provinces Françaises 92000 Nanterre;87386318;Entrée et sortie 3;Coté de l'université  bis;;;Entrée 3 - Boulevard des Provinces Françaises;48.901298,2.212507
L;Houilles-Carrières-sur-Seine;Place André Malraux (Rond point);87386409;Entrée et sortie;Entrée 1;;Place André Malraux (Rond point);Entrée 1 - Place André Malraux (Rond point);48.551151,2.11642
L;Cergy-le-Haut;Rue de l'Espérance;87382655;Entrée et sortie;Entrée principale 1;;Rue de l'Espérance;Entrée 1 - Rue de L'Espérance;49.25432,2.04276
L;Saint-Cloud;42 Rue Dailly 92210 Saint Cloud;87382358;Entrée  et sortie 1;;;Avenue Pozzo di Borgo/ Rue Alexandre Coutureau/ Rue Armengaud;Entrée 1 - Avenue Pozzo di Borgo/ Rue Alexandre Coutureau/ Rue Armengaud;48.84554,2.216668
L;Puteaux;2 Rue Ferdinand Pelloutier 92800 Puteaux;87382382;Entrée  et sortie 2;;;Rue Fernand Pelloutier;Entrée 2 - Rue Ferdinant Pelloutier;48.884369,2.234342
C;Athis-Mons;Place de Rothenbourg ob der Tauber 91200   Athis-Mons;87545251;Entreé N°02;coté droit  BV;Sortie Centre Ville;Place de Rothenburg;Entrée 2 - Place de Rothenburg (Centre ville);48.712633,2.402767
C;Athis-Mons;Place de Rothenbourg ob der Tauber 91200   Athis-Mons;87545251;Entrée N°01;façade bv;Sortie Place de Rothenburg;Place de Rothenburg;Entrée 1 - Place de Rothenburg;48.712867,2.402983
C;Bièvres;Place de la Gare 91570   Bièvres;87393546;Entreé N°02;coté gauche bv;Sortie Place de la Gare;Avenue de la Gare;Entrée 2 - Avenue de la Gare;48.751231,2.215808
C;Norville-Saint-Germain-les-Arpajon (La);Rue de la Gare 91290   La Norville;87545459;Entrée N°02;coté bv;Sortie Rue Pasteur;Rue de la gare;Entrée 2 - Rue Pasteur;48.591567,2.2674
C;Orly-Ville;1, Place du 8 mai 45 94310   Orly;87546200;Entrée N°01;façade BV;Sortie;Place du 08 mai 1945;Entrée 1 -  Place du 08 mai 1945;48.741747,2.402733
C;Petit-Vaux;Rue du Petit Vaux  91360   Epinay-sur-Orge;87393652;Entrée N°01;;Sortie Rue de petit vaux;Rue de petit vaux;Entrée 1 - Rue de petit vaux;48.675898,2.333951
L;Vallées (Les);Place des la gare des Vallées 92250 La Garenne Colombes;87386300;Entrée et sortie 2;;;Parking de la gare des Vallées quai direction Paris;Entrée 2 - Place de la gare des Vallées (Accès parking);48.913705,2.257689
L;Paris Saint-Lazare;13 Rue d'Amsterdam 75008 Paris;87281899;Entrée et sortie 4;Place de Budapest/ Rue d'Amsterdam;;Place de Budapest/ Rue d'Amsterdam;Entrée 4 - Place de Budapest/ Rue d'Amsterdam;48.877155,2.32688
L;Saint-Nom-la-Bretèche Forêt de Marly;Route de Saint Nom la Bretèche 78620 L'Etang La Ville;87382481;Entrée et sortie 1;;;Route de Saint Nom;Entrée 1 - Route de Saint Nom;48.867787,2.051121
L;Suresnes-Mont-Valérien;Rue Worth 92150 Suresnes;87382374;Entrée et sortie 2;;;Avenue Franklin Roosevelt;Entrée 2 - Avenue Franklin Roosevelt;48.872014,2.221058
C;Vitry-sur-Seine;Cour de la Gare 94400   Vitry-sur-Seine;87545293;Entrée N°05;opposé à la N°02;;Rue Pierre Semard;Entrée 5 - Rue Pierre Semard;48.800867,2.40255
C;Etréchy;Boulevard Pasteur 91580   Etrechy;87545145;Entrée N°01;façade BV;Sortie place de la gare;Boulevard de la Gare;Entrée 1 - Place de la gare;48.493776,2.194286
C;Invalides;2, Rue Esnault Pelterie 75007   Paris;87393033;Entrée N°03;;"Sortie rue Esnault Pelterie Quai d'Orsay
aérogare Air France";rue Esnaullt Pelterie;Entrée 3 - Rue Esnault Pelterie (Aérogare Air France);48.861967,2.3149
C;Bièvres;Place de la Gare 91570   Bièvres;87393546;Entrée N°03;debut quai opposé bv;Sortie Jognieres;Rue du petit bièvres;Entrée 3 - Rue du petit bièvres / Jognieres;48.75174,2.214006
C;Pont-de-Rungis-Aéroport-d'Orly;Avenue du Docteur Marie 94150   Thiais;87546192;Entrée N°02;façade BV;;;Entrée  2 - Avenue du Docteur Marie;48.748183,2.372733
L;Bécon les Bruyères;Rue Madira - 92400 Courbevoie;87382002;Entrée 3;Travaux d'assainissement dans la rue de la Sablière;;Rue de la Sablière (Asnières Sur Seine);Entrée 3  - Rue de la Sablière (Asnières sur Seine);48.905923,2.268454
L;Sèvres-Ville-d'Avray;Place Pierre Brosselette 92310 Sèvres;87382341;Entrée et sortie 2;;;Rue Brancas;Entrée 2 - Rue Brancas;48.826936,2.201019
C;Longjumeau;Place de la Gare 91160   Longjumeau;87393611;Entrée N°01;facade Bv;Sortie Place de la Gare;Place de la Gare;Entrée 1 - Place de la Gare;48.702083,2.2944
C;Ablon;Place de la Libération 94480   Ablon-sur-Seine;87545269;Entrée N°04;Quai opposé bv;Sortie Rue du colonnel Pierre Brossolette;Rue du colonnel Pierre Brossolette;Entrée 4 - Rue du colonnel Pierre Brossolette;48.725867,2.420283
C;Etréchy;Boulevard Pasteur 91580   Etrechy;87545145;Entrée N°02;coté droit du BV;Sortie place de la gare;Boulevard de la Gare;Entrée 2 - Place de la gare;48.493583,2.194267
C;Chaville-Vélizy;1, Place de Verdun 78140   Viroflay;87393173;Entrée N°01;facade BV;Sortie Rue de Verdun;;Entrée 1 - Rue de Verdun;48.79975,2.184433
C;JUVISY;;87545244;;;;;;
C;Saint-Quentin-en-Yvelines;Place Charles de Gaulle 78180 Montigny le Bretonneux;87393843;Entrée et sortie 4;Accès près des Taxis;;Avenue de la Gare/ Avenue des Près;Entrée 4 - Avenue de la Gare/ Avenue des Près;48.787138,2.045545
C;Saint-Cyr;Place Pierre Sémard 78120 Saint-Cyr l'Ecole;87393223;Entrée et sortie 2;Accès de nuit;;Place Pierre Sémard;Entrée 2 - Place Pierre Sémard;48.798938,2.072969
L;Achères-Ville;Avenue de Conflans;87381657;Entrée et sortie;Entrée secondaire par souterrain;;Avenue de Conflans;Entrée 2 - Av de Conflans;48.581314,2.044045
C;Javel;Rond point du Pont Mirabeau 75015   Paris;87393066;Entrée N°01;facade BV;Sortie;Pont Mirabeau/Quai André citroen;Entrée 1 - Pont Mirabeau/Quai André citroen;48.846217,2.276833
C;Etampes;Place du Général Leclerc 91150   Etampes;87545137;Entrée N°02;Quai opposé au bv sur parking;Sortie Parking;parking;Entrée 2 - Parking;48.43775,2.160067
C;Egly;Impasse de la Masure 91520   Egly;87545475;Entrée N°04;quai opposé;Sortie Avenue de la Gare;Avenue de la Gare;Entrée 4 - Avenue de la Gare;48.58245,2.221967
C;Egly;Impasse de la Masure 91520   Egly;87545475;Entrée N°03;quai opposé;Sortie Allée des Joncs;Allée des Joncs;Entrée 3 - Allée des Joncs;48.582633,2.222517
L;Paris Saint-Lazare;13 Rue d'Amsterdam 75008 Paris;87281899;Entrée et sortie 2;Rue de Rôme;;Rue de Rome Accès Quai 1;Entrée 2 - Rue de Rome Accès quai 1;48.877438,2.323029
