TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d;gestionnaire;source;complement_adresse
SANISETTE;;7  RUE DE CAMBRAI;75019;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.3789629758483413, 48.895495351952356]]}";48.895495352,2.37896297585;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;PARC DES BUTTES CHAUMONT;75019;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/parc-des-buttes-chaumont-1757;"{""type"": ""MultiPoint"", ""coordinates"": [[2.383640963547957, 48.88182476781304]]}";48.8818247678,2.38364096355;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;SQUARE ALEXANDRE ET RENE PARODI;75016;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-alexandre-et-rene-parodi-2752;"{""type"": ""MultiPoint"", ""coordinates"": [[2.28100617118407, 48.87626368925604]]}";48.8762636893,2.28100617118;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;101  BOULEVARD DE MONTMORENCY;75016;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.260533615073436, 48.8483316153724]]}";48.8483316154,2.26053361507;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;52  QUAI DE LA LOIRE;75019;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.375847653421224, 48.885803250412145]]}";48.8858032504,2.37584765342;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;107  RUE RAMBUTEAU;;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.346392662102407, 48.86274833004129]]}";48.86274833,2.3463926621;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;4  RUE JUSSIEU;;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.354872194164979, 48.84622521629629]]}";48.8462252163,2.35487219416;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;face au 41 RUE DES MORILLONS;75015;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.299498679290673, 48.83312572463117]]}";48.8331257246,2.29949867929;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;111  AVENUE DAUMESNIL;75012;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.380317848061393, 48.84498445223605]]}";48.8449844522,2.38031784806;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;126  BOULEVARD DE L HOPITAL;75013;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.357805850885123, 48.834805438287674]]}";48.8348054383,2.35780585089;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;BOULEVARD ARAGO;75013;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.346369907448935, 48.83496155198776]]}";48.834961552,2.34636990745;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;PARC MONTSOURIS;75014;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-et-aire-de-jeux-de-la-zac-alesia-montsouris-2867;"{""type"": ""MultiPoint"", ""coordinates"": [[2.339848934049351, 48.82416257802962]]}";48.824162578,2.33984893405;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;face au 55 BOULEVARD DE VAUGIRARD;75015;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.3164276371957753, 48.8409122311636]]}";48.8409122312,2.3164276372;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;face au 45 AVENUE SIMON BOLIVAR;75019;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.3805412942459823, 48.87623316458193]]}";48.8762331646,2.38054129425;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;6  AVENUE DE LA PORTE DE MONTREUIL;75020;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.411516383464487, 48.85380970359548]]}";48.8538097036,2.41151638346;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;1  BOULEVARD DES FILLES DU CALVAIRE;;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.367032423762319, 48.861123131655724]]}";48.8611231317,2.36703242376;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;AVENUE FRANKLIN D ROOSEVELT;;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.310160918160172, 48.87014131314519]]}";48.8701413131,2.31016091816;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;1  AVENUE RICHERAND;75010;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.365465590341057, 48.87183853334346]]}";48.8718385333,2.36546559034;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;51  QUAI DE VALMY;75010;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.365863387720789, 48.87027367959495]]}";48.8702736796,2.36586338772;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
URINOIR;;JARDIN D'EOLE - TERRAIN DE BASKET;75018;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-francoise-helene-jourda-ex-20-rue-du-departement-18075;"{""type"": ""MultiPoint"", ""coordinates"": [[2.364774445573531, 48.886195073546475]]}";48.8861950735,2.36477444557;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;135  AVENUE DE CLICHY;75017;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.319670103069588, 48.89080735250064]]}";48.8908073525,2.31967010307;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;123  RUE SAINT JACQUES;;6 h - 1 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.343987824033075, 48.84781204558067]]}";48.8478120456,2.34398782403;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;opposé au 52 bis BOULEVARD RICHARD LENOIR;75011;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.37200200665522, 48.85930978120497]]}";48.8593097812,2.37200200666;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;face au 159 AVENUE DE CHOISY;75013;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.358453201102806, 48.828198365793185]]}";48.8281983658,2.3584532011;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;opposé au 17 BOULEVARD AUGUSTE BLANQUI;75013;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.3533725291965792, 48.83062624643756]]}";48.8306262464,2.3533725292;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;BOIS DE BOULOGNE - PARC DE BAGATELLE - GRILLE DE SEVRES;75016;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/parc-de-bagatelle-1808;"{""type"": ""MultiPoint"", ""coordinates"": [[2.246175578808388, 48.87056564529141]]}";48.8705656453,2.24617557881;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
TOILETTES;;JARDIN NATUREL-PIERRE EMMANUEL;75020;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-lesseps-17432;"{""type"": ""MultiPoint"", ""coordinates"": [[2.399128749545261, 48.85873792339389]]}";48.8587379234,2.39912874955;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;57  RUE DE LA CHAPELLE;75018;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.358838883116348, 48.89508955698618]]}";48.895089557,2.35883888312;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;AVENUE DE LA PORTE BRUNET;75019;6 h - 22 h;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.397859680104272, 48.88389762041914]]}";48.8838976204,2.3978596801;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;123  RUE SAINT ANTOINE;;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.360419701884549, 48.85530319788792]]}";48.8553031979,2.36041970188;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
SANISETTE;;2  PLACE JOFFRE;;24 h / 24;Oui;;;"{""type"": ""MultiPoint"", ""coordinates"": [[2.305083210870264, 48.854301176148155]]}";48.8543011761,2.30508321087;Toilette publique de la Ville de Paris;http://opendata.paris.fr;numero_de_voie nom_de_voie
