,Rang,Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement pour Paris,NB_CORR
0,1,Métro,SAINT-LAZARE,26904975,3,9,12,13.0,14.0,Paris,8.0,5
1,2,Métro,GARE DU NORD,25381876,4,5,0,0.0,0.0,Paris,10.0,2
2,8,Métro,LES HALLES,8019633,4,0,0,0.0,0.0,Paris,1.0,1
3,10,Métro,BASTILLE,6084635,1,5,8,0.0,0.0,Paris,12.0,3
4,28,Métro,VILLEJUIF-LOUIS ARAGON,4029467,7,0,0,0.0,0.0,Villejuif,0.0,1
5,37,Métro,PLACE CLICHY,3643247,2,13,0,0.0,0.0,Paris,17.0,2
6,44,Métro,LA MOTTE-PICQUET-GRENELLE,3428458,6,8,10,0.0,0.0,Paris,15.0,3
7,46,Métro,STALINGRAD,3336898,2,5,7,0.0,0.0,Paris,19.0,3
8,50,Métro,CHAUSSEE D'ANTIN-LA FAYETTE,3299036,7,9,0,0.0,0.0,Paris,9.0,2
9,57,Métro,GALLIENI,2893664,3,0,0,0.0,0.0,Bagnolet,0.0,1
10,62,Métro,CRETEIL-PREFECTURE,2778189,8,0,0,0.0,0.0,Créteil,0.0,1
11,64,Métro,REAUMUR-SEBASTOPOL,2718817,3,4,0,0.0,0.0,Paris,3.0,2
12,78,Métro,GRANDS BOULEVARDS,2608284,8,9,0,0.0,0.0,Paris,9.0,2
13,81,Métro,VOLTAIRE,2572383,9,0,0,0.0,0.0,Paris,11.0,1
14,93,Métro,PORTE DE MONTREUIL,2383093,9,0,0,0.0,0.0,Paris,20.0,1
15,100,Métro,ROBESPIERRE,2281953,9,0,0,0.0,0.0,Montreuil,0.0,1
16,101,Métro,BONNE NOUVELLE,2254643,8,9,0,0.0,0.0,Paris,10.0,2
17,104,Métro,VILLIERS,2244643,2,3,0,0.0,0.0,Paris,17.0,2
18,106,Métro,PEREIRE,2221107,3,0,0,0.0,0.0,Paris,17.0,1
19,107,Métro,ALESIA,2204961,4,0,0,0.0,0.0,Paris,14.0,1
20,114,Métro,BERAULT,2112213,1,0,0,0.0,0.0,Vincennes,0.0,1
21,121,Métro,BOULOGNE-JEAN JAURES,2016202,10,0,0,0.0,0.0,Boulogne Billancourt,0.0,1
22,128,Métro,ECOLE MILITAIRE,1863016,8,0,0,0.0,0.0,Paris,7.0,1
23,140,Métro,CHAMPS-ELYSEES-CLEMENCEAU,1735350,1,13,0,0.0,0.0,Paris,8.0,2
24,143,Métro,BOBIGNY-PANTIN-RAYMOND QUENEAU,1726493,5,0,0,0.0,0.0,Pantin,0.0,1
25,148,Métro,GARIBALDI,1697555,13,0,0,0.0,0.0,Saint Ouen,0.0,1
26,150,Métro,CRETEIL-POINTE DU LAC,1684557,8,0,0,0.0,0.0,Créteil,0.0,1
27,153,Métro,SAINT-PLACIDE,1673383,4,0,0,0.0,0.0,Paris,6.0,1
28,155,Métro,CHARENTON-ECOLES,1654160,8,0,0,0.0,0.0,Charenton,0.0,1
29,160,Métro,ARGENTINE,1603575,1,0,0,0.0,0.0,Paris,17.0,1
30,164,Métro,SIMPLON,1576778,4,0,0,0.0,0.0,Paris,18.0,1
31,167,Métro,CAMBRONNE,1567953,6,0,0,0.0,0.0,Paris,15.0,1
32,169,Métro,CENSIER-DAUBENTON,1557698,7,0,0,0.0,0.0,Paris,6.0,1
33,170,Métro,ALMA-MARCEAU,1547789,9,0,0,0.0,0.0,Paris,8.0,1
34,184,Métro,QUAI DE LA GARE,1410543,6,0,0,0.0,0.0,Paris,13.0,1
35,189,Métro,VILLEJUIF-PAUL VAILLANT-COUTURIER,1382850,7,0,0,0.0,0.0,Villejuif,0.0,1
36,191,Métro,PYRENEES,1364625,11,0,0,0.0,0.0,Paris,20.0,1
37,194,Métro,JAVEL-ANDRE CITROEN,1331833,10,0,0,0.0,0.0,Paris,15.0,1
38,206,Métro,RANELAGH,1234203,9,0,0,0.0,0.0,Paris,16.0,1
39,211,Métro,JACQUES BONSERGENT,1216884,5,0,0,0.0,0.0,Paris,10.0,1
