Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
France,FRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100
France,FRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,9.439,9.2798,9.1206,8.9614,8.8022
France,FRA,Age dependency ratio (% of working-age population),SP.POP.DPND,56.0504984458119,57.1436364142437,58.2423734051435,59.2447436227006,60.0524272863093
France,FRA,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,1.63179503677703,1.45863217691004,1.55635615985933,1.60564438654459,1.45039325701527
France,FRA,"Agriculture, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,-8.62275807969641,-1.91354576224008,14.7035204103611,0.560125745406097,-9.73890334724162
France,FRA,"Agriculture, value added (constant 2005 US$)",NV.AGR.TOTL.KD,40241849468.5983,39471803263.4449,45275547912.6231,45529147912.8554,41095108202.7997
France,FRA,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,739353.599757151,641440,610197,607168,599427
France,FRA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,109.250557662069,108.810140425895,108.045764389539,106.992747524193,104.380441132115
France,FRA,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,..,..,..,..,..
France,FRA,Consumer price index (2010 = 100),FP.CPI.TOTL,104.107058016154,105.006246810607,105.539425293424,105.579017755019,105.772580900597
France,FRA,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,0.707000017166138,0.704999983310699,0.71399998664856,0.65200001001358,0.662000000476837
France,FRA,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,0.273000001907349,0.212999999523163,0.195999994874001,0.150999993085861,0.17399999499321
France,FRA,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",SL.FAM.WORK.ZS,0.476000010967255,0.442999988794327,0.439999997615814,0.386999994516373,0.404000014066696
France,FRA,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,..,..,..,..,..
France,FRA,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,..,..,..,..,..
France,FRA,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,..,..,..,..,..
France,FRA,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,..,..,..,..,..
France,FRA,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,..,..,..,..,..
France,FRA,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,..,..,..,..,..
France,FRA,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,..,..,..,..,..
France,FRA,Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,..,6,6,6,6
France,FRA,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,147.673692696873,143.813566006625,146.773577577084,147.414475407927,155.20042466732
France,FRA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,96.5546312626747,96.0201947015595,94.0892609192168,95.0900459964193,97.6173040266216
France,FRA,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..,..,..,..,..
France,FRA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,7363.42603842361,7367.84655930893,6939.52231081409,..,..
France,FRA,"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,2.23000001907349,2.18400001525879,2.05399990081787,2.22699999809265,2.30100011825562
France,FRA,"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS,6.27799987792969,6.26000022888184,6.28499984741211,6.2020001411438,6.09299993515015
France,FRA,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,4.38899993896484,4.34999990463257,4.29500007629395,4.3270001411438,4.30800008773804
France,FRA,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,2.91899991035461,3.07500004768372,2.84599995613098,2.74499988555908,2.87199997901917
France,FRA,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,1.83399999141693,1.83800005912781,1.64499998092651,1.6360000371933,1.62199997901917
