Series Name,Series Code,Country Name,Country Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,United Kingdom,GBR,98.1568298339844,..,..,100,..,..,98.7131805419922,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,United Kingdom,GBR,89.892951965332,..,..,100,..,..,90.2228546142578,..,..,..
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,United Kingdom,GBR,97.201286315918,..,..,98.9310531616211,..,..,96.3663177490234,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,United Kingdom,GBR,96.70703125,..,..,99.2217025756836,..,..,96.6740875244141,..,..,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,United Kingdom,GBR,100,100,100,100,100,100,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,United Kingdom,GBR,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,United Kingdom,GBR,100,100,100,100,100,100,100,100,100,..
"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,United Kingdom,GBR,100,100,100,100,100,100,100,100,100,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,United Kingdom,GBR,97.651985168457,..,..,98.6527328491211,..,..,96.0734405517578,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,United Kingdom,GBR,96.6492004394531,..,..,98.0837326049805,..,..,94.4735107421875,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,United Kingdom,GBR,97.5988998413086,..,..,99.48974609375,..,..,97.6197509765625,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,United Kingdom,GBR,98.515739440918,..,..,98.835075378418,..,..,97.7710189819336,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,United Kingdom,GBR,91.0408248901367,..,..,90.7583770751953,..,..,83.5203323364258,..,..,..
Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,United Kingdom,GBR,98.13593,98.36969,99.72458,99.89948,99.93433,99.65208,99.56963,..,..,..
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,United Kingdom,GBR,98.18225,98.34373,99.60107,..,..,99.56731,99.42539,..,..,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,United Kingdom,GBR,98.09179,98.39444,99.84246,..,..,99.73306,99.70747,..,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,United Kingdom,GBR,0.967290937378422,-0.0157132318670392,1.82117588275253,4.06665003055299,3.09802441147579,1.49855662076345,2.34194258932214,0.988680999001005,..,..
Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,United Kingdom,GBR,2119864363537.34,2119531264334.63,2158131656548.09,2245895318218.47,2315473703433.08,2350172387917.91,2405212075993.05,2428991950774.07,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,United Kingdom,GBR,2255785536352.37,2258296470775.68,2305736691432.34,2550856615934.36,2437600597006.99,2233194023494.44,2229138710754.65,2381604119375.85,..,..
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,United Kingdom,GBR,0.181300217893536,-0.708545494692018,1.1415167111104,3.303051903119,2.28433712100873,0.732232505032073,1.6490140103687,0.378611322098891,..,..
Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,United Kingdom,GBR,33510.9744166439,33273.5339171873,33653.356867229,34764.9447116955,35559.0932488429,35819.4684881056,36410.136541914,36547.9894412534,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,United Kingdom,GBR,35659.6264828942,35451.944248158,35955.0722881987,39485.539909654,37434.6151303255,34036.5767905443,33744.7352936364,35834.9652745681,..,..
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,United Kingdom,GBR,2.98343351511434,1.61975681053573,1.08763551235066,2.73299271883968,3.02019670848493,2.32356787648572,3.68352675176015,2.96574576241945,..,..
"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,United Kingdom,GBR,79671100304.3708,43343558420.1689,29653729662.9334,82071224748.2119,86532259934.1434,61060110799.0177,96859072642.8835,83637885969.7196,..,..
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,United Kingdom,GBR,2.92101669674096,1.56147482454328,1.0323097257769,2.68189932399593,2.97080238077596,2.27487169241905,3.63721519410392,2.91943420476322,..,..
"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,United Kingdom,GBR,78004290378.1189,41783973272.4009,28145305287.4718,80536900319.733,85117053172.0881,59780443256.4033,95641300972.0014,82331839838.7891,..,..
Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,United Kingdom,GBR,0.499339476417668,0.543468265444494,0.540367283688806,0.470363014684222,0.491495367786444,0.518045196573581,0.524993521736198,0.496380316767672,0.508976300137812,..
Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,United Kingdom,GBR,13334611047.9956,14542830355.5089,14732789769.4051,14124907258.3643,14081932081.523,13613502502.6785,13804809652.7577,13998570227.2601,14143484325.8595,..
Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,United Kingdom,GBR,14.514526069357,14.7774102025137,14.7743489248644,14.5473354699192,14.6293139010246,14.7678438264626,14.8467854030071,14.9440221994552,15.052498427882,..
Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,United Kingdom,GBR,387603161419.144,395433152832.126,402813758827.074,436853574694.58,419147398441.037,388078260778.08,390399191529.151,421440853253.497,418280331563.829,..
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,United Kingdom,GBR,5.15,5.25999999999995,5.37,5.55753005588495,5.53067916906367,5.43573819789713,5.37965756263478,5.37965756263478,5.37965756263478,..
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,United Kingdom,GBR,137528175000,140753917999.999,146409828000,166891516072.214,158460595008.677,142843589807.259,141459171540.994,151713336821.132,149490462316.252,..
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,United Kingdom,GBR,1.0131787616287,0.829540835817073,0.656125541901404,0.508488547078489,0.292204324844118,0.250687405326575,0.379616224602593,0.605822416092363,0.5423733594881,..
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,United Kingdom,GBR,27056432239.9135,22197932087.8798,17888869224.6166,15269809371.0576,8372004551.9738,6587714049.61494,9982084549.1701,17084979702.9456,15071525150.7913,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,United Kingdom,GBR,13.86065499,12.51027187,11.68853915,12.70166771,12.90251063,12.42439282,14.05524729,13.6323528,13.61976505,..
Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,United Kingdom,GBR,0.000182365840067592,9.13441052360425E-05,2.49598733463951E-05,0,0,6.38492272947342E-08,5.00738993405677E-07,1.69026640714908E-06,0,..
Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,United Kingdom,GBR,4869988.57608502,2444304.31524283,680515.970865454,0,0,1677.8683043874,13167.031979401,47667.7100279333,0,..
Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,United Kingdom,GBR,1.01336112746877,0.829632179922309,0.65615050177475,0.508488547078489,0.292204324844118,0.250687469175802,0.379616725341586,0.60582410635877,..,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,United Kingdom,GBR,0,0,0,0,0,0,0,0,..,..
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,United Kingdom,GBR,0,0,0,0,0,0,0,0,..,..
